SMILES,name,canvasUID,Source File,Source File Index,Molecular weight
c1cc(F)ccc1OC(=O)c2cc(on2)-c3ccc(cc3)OCC,ZINC15669821,88,Ambinter.sdf,88,327.31498
c1cccc(F)c1OC(=O)c2cc(on2)-c3ccc(cc3)OCC,ZINC15669823,89,Ambinter.sdf,89,327.31498
N#Cc1ccc(cc1)OC(=O)c2cc(on2)-c3ccccc3,ZINC15833048,90,Ambinter.sdf,90,290.28085
COc(cc1)ccc1OC(=O)c2cc(on2)-c(cc3)ccc3C,ZINC15833056,91,Ambinter.sdf,91,309.32455
c1cccc(c1C)OC(=O)c2cc(on2)-c3ccc(cc3)OC,ZINC15833085,92,Ambinter.sdf,92,309.32455
[O-]C(=O)c1cc(on1)-c2ccc(cc2)S(=O)(=O)C,ZINC19772687,93,Ambinter.sdf,93,266.25411
[O-]C(=O)c1cc(on1)-c2ccc(cc2)-c3ccccc3,ZINC20081476,94,Ambinter.sdf,94,264.263
COC(=O)c1cc(on1)-c2ccc(O)cc2,ZINC20220717,95,Ambinter.sdf,95,219.19868
[O-]C(=O)c1cc(on1)-c2cc(Cl)ccc2,ZINC20283765,96,Ambinter.sdf,96,222.60925
[O-]C(=O)c1cc(on1)-c2c(F)cc(F)cc2,ZINC20444822,97,Ambinter.sdf,97,224.14508
c1cc(Br)ccc1OC(=O)c2cc(on2)-c3ccccc3,ZINC20896613,98,Ambinter.sdf,98,344.172
Cc1cc(ccc1)OC(=O)c2cc(on2)-c3ccccc3,ZINC20896616,99,Ambinter.sdf,99,279.29806
c1cccc(c1C)OC(=O)c2cc(on2)-c3ccccc3,ZINC20896619,100,Ambinter.sdf,100,279.29806
Cc1c(C)ccc(c1)OC(=O)c2cc(on2)-c3ccccc3,ZINC20896622,101,Ambinter.sdf,101,293.32515
Cc(c1)ccc(c1C)OC(=O)c2cc(on2)-c3ccccc3,ZINC20896625,102,Ambinter.sdf,102,293.32515
Cc1c(C)cccc1OC(=O)c2cc(on2)-c3ccccc3,ZINC20896628,103,Ambinter.sdf,103,293.32515
Cc1cc(ccc1)OC(=O)c2cc(on2)-c(cc3)ccc3C,ZINC20896631,104,Ambinter.sdf,104,293.32515
c1cccc(c1C)OC(=O)c2cc(on2)-c(cc3)ccc3C,ZINC20896633,105,Ambinter.sdf,105,293.32515
c1cc(Br)ccc1OC(=O)c2cc(on2)-c3ccc(cc3)OC,ZINC20896721,106,Ambinter.sdf,106,374.19849
Cc1cc(ccc1)OC(=O)c2cc(on2)-c3ccc(cc3)OC,ZINC20896724,107,Ambinter.sdf,107,309.32455
c1ccc(Br)cc1OC(=O)c2cc(on2)-c3ccc(cc3)OC,ZINC20896727,108,Ambinter.sdf,108,374.19849
Cc1cc(C)cc(c1)OC(=O)c2cc(on2)-c3ccc(cc3)OC,ZINC20896730,109,Ambinter.sdf,109,323.35164
Cc1c(C)cccc1OC(=O)c2cc(on2)-c3ccc(cc3)OC,ZINC20896733,110,Ambinter.sdf,110,323.35164
Cc1cc(ccc1)OC(=O)c2cc(on2)-c3ccc(cc3)OCC,ZINC20896761,111,Ambinter.sdf,111,323.35164
c1cccc(c1C)OC(=O)c2cc(on2)-c3ccc(cc3)OCC,ZINC20896765,112,Ambinter.sdf,112,323.35164
CCOC(=O)c1cc(on1)-c2cc(c(cc2)OC)S(=O)(=O)N3CCOc(c34)ccc(C)c4,ZINC20985141,113,Ambinter.sdf,113,458.49384
CCOC(=O)c1cc(on1)-c2cc(c(cc2)OC)S(=O)(=O)N3C[C@@H](C)Oc(c34)cccc4,ZINC20985145,114,Ambinter.sdf,114,458.49384
CCOC(=O)c1cc(on1)-c2cc(c(cc2)OC)S(=O)(=O)N3C[C@H](C)Oc(c34)cccc4,ZINC20985149,115,Ambinter.sdf,115,458.49384
CCOC(=O)c1cc(on1)-c2cc(c(cc2)OC)S(=O)(=O)N3C[C@@H](C)Sc(c34)cccc4,ZINC20985160,117,Ambinter.sdf,117,474.55844
CCOC(=O)c1cc(on1)-c2cc(c(cc2)OC)S(=O)(=O)N3C[C@H](C)Sc(c34)cccc4,ZINC20985164,118,Ambinter.sdf,118,474.55844
