"","name.cmpd","paper.name","synth.name","IC50","IC50.low","IC50.up","SMILES"
"215","mPP-0027","6","MTI-59",NA,NA,NA,"CC1=C(C=NN1C)C2=CC(C(O)=O)=NO2"
"216","mPP-0027","6","MTI59",NA,NA,NA,"CC1=C(C=NN1C)C2=CC(C(O)=O)=NO2"
"225","mPP-0160","10g","DAP-10b",NA,NA,NA,"COC1=CC=C(C2=CC(C(OCC)=O)=NO2)C=C1"
"226","mPP-0161","11g","DAP-13",NA,NA,NA,"OC(C1=NOC(C2=CC=C(OC)C=C2)=C1)=O"
"227","mPP-0162","10f","DAP-16",NA,NA,NA,"O=C(OCC)C1=NOC(C2=CC=CC(OC)=C2)=C1"
"228","mPP-0163","10c","DAP-02",NA,NA,NA,"O=C(OCC)C1=NOC(C2=CC(C(OC)=O)=CC=C2)=C1"
"229","mPP-0164","10b","DAP-14",NA,NA,NA,"O=C(OCC)C1=NOC(C2=CC=CC=C2C(OC)=O)=C1"
"230","mPP-0146","9h","NJ1-4",NA,NA,NA,"O=C(OCC)C1=NOC(C2=CC=C(C#N)C=C2)=C1"
"231","mPP-0147","SI-37","NJ1-31",NA,NA,NA,"OC(C1=NOC(C2=CC=C(C#N)C=C2)=C1)=O"
"232","mPP-0148","10a","NJ1-19",NA,NA,NA,"O=C(OCC)C1=NOC(C2=CC=CC=C2)=C1"
"233","mPP-0149","11a","NJ1-20",NA,NA,NA,"OC(C1=NOC(C2=CC=CC=C2)=C1)=O"
"234","mPP-0150","SI-42","NJ1-21",NA,NA,NA,"O=C(OCC)C1=NNC(C2=CC=CC=C2)=C1"
"235","mPP-0152","10n","NJ1-24",NA,NA,NA,"O=C(OCC)C1=NOC(C2=CC(C3=CC(C(OCC)=O)=NO3)=CC=C2)=C1"
"236","mPP-0153","11n","NJ1-26",NA,NA,NA,"OC(C1=NOC(C2=CC(C3=CC(C(O)=O)=NO3)=CC=C2)=C1)=O"
"245","mPP-0155","10m","NJ1-28",NA,NA,NA,"O=C(OCC)C1=NOC(C2=CC(C(F)(F)F)=CC(C(F)(F)F)=C2)=C1"
"246","mPP-0156","11m","NJ1-38",NA,NA,NA,"OC(C1=NOC(C2=CC(C(F)(F)F)=CC(C(F)(F)F)=C2)=C1)=O"
"247","mPP-0157","10k","NJ1-30",NA,NA,NA,"O=C(OCC)C1=NOC(C2=CC(C)=CC(C)=C2)=C1"
"258","mPP-0205","SI-44","Amb929",NA,NA,NA,"FC(F)(F)C1=CC=C(C2=NC(C(O)=O)=CS2)C=C1"
"259","mPP-0205","SI-44","Amb929",NA,NA,NA,"FC(F)(F)C1=CC=C(C2=NC(C(O)=O)=CS2)C=C1"
"260","mPP-0210","SI-51","Amb194",NA,NA,NA,"CC(C)(C)C1=CC(C(NCCN2CCOCC2)=O)=CC(C(C)(C)C)=C1"
"261","mPP-0210","SI-51","Amb194",NA,NA,NA,"CC(C)(C)C1=CC(C(NCCN2CCOCC2)=O)=CC(C(C)(C)C)=C1"
"262","mPP-0211","SI-48","Amb753",NA,NA,NA,"CC(C)(C)C1=CC(CN)=CC(C(C)(C)C)=C1"
"263","mPP-0211","SI-48","Amb753",NA,NA,NA,"CC(C)(C)C1=CC(CN)=CC(C(C)(C)C)=C1"
"264","mPP-0213","SI-46","Amb841",NA,NA,NA,"CC(C)(C)C1=CC(C(N)=O)=CC(C(C)(C)C)=C1"
"265","mPP-0213","SI-46","Amb841",NA,NA,NA,"CC(C)(C)C1=CC(C(N)=O)=CC(C(C)(C)C)=C1"
"266","mPP-0214","SI-45","Amb497",NA,NA,NA,"CC(C)(C)C1=CC(CC(O)=O)=CC(C(C)(C)C)=C1"
"267","mPP-0214","SI-45","Amb497",NA,NA,NA,"CC(C)(C)C1=CC(CC(O)=O)=CC(C(C)(C)C)=C1"
"268","mPP-0216","SI-47","Amb586",NA,NA,NA,"CC(C)(C)C1=CC(C(O)CC(NN)=O)=CC(C(C)(C)C)=C1"
"269","mPP-0216","SI-47","Amb586",NA,NA,NA,"CC(C)(C)C1=CC(C(O)CC(NN)=O)=CC(C(C)(C)C)=C1"
"270","mPP-0218","SI-50","Amb954",NA,NA,NA,"CC(C)(C)C1=CC(C(NC2=CC=CC=C2C(O)=O)=O)=CC(C(C)(C)C)=C1"
"271","mPP-0218","SI-50","Amb954",NA,NA,NA,"CC(C)(C)C1=CC(C(NC2=CC=CC=C2C(O)=O)=O)=CC(C(C)(C)C)=C1"
"272","mPP-0220","24","Amb509",NA,NA,NA,"CC(C)(C)C1=CC(CCC(O)=O)=CC(C(C)(C)C)=C1"
"273","mPP-0220","24","Amb509",NA,NA,NA,"CC(C)(C)C1=CC(CCC(O)=O)=CC(C(C)(C)C)=C1"
"274","mPP-0222","23","Amb684",NA,NA,NA,"CC(C)(C)C1=CC(C(NCC(O)=O)=O)=CC(C(C)(C)C)=C1"
"275","mPP-0222","23","Amb684",NA,NA,NA,"CC(C)(C)C1=CC(C(NCC(O)=O)=O)=CC(C(C)(C)C)=C1"
"297","mPP-0195","10h","NJ2-4",NA,NA,NA,"O=C(OCC)C1=NOC(C2=CC=C([N+]([O-])=O)C=C2)=C1"
"298","mPP-0195","10h","DAP-22",NA,NA,NA,"O=C(OCC)C1=NOC(C2=CC=C([N+]([O-])=O)C=C2)=C1"
"299","mPP-0253","14","NJ1-87cont",NA,NA,NA,"O=C(O)C1=NNC(C2=CC=C([N+]([O-])=O)C=C2)=C1"
"300","mPP-0246","SI-43","NJ1-76",NA,NA,NA,"O=C(OCC)C1=NNC(C2=CC=C([N+]([O-])=O)C=C2)=C1"
"301","mPP-0255","11j","NJ1-89",NA,NA,NA,"CC(C)(C)C1=CC(C2=CC(C(O)=O)=NO2)=CC=C1"
"302","mPP-0199","SI-38","NJ1-49",NA,NA,NA,"O=C(OCC)C1=NOC(C2=CC=C([N+]([O-])=O)C=C2C(OC)=O)=C1"
"303","mPP-0247","10i","NJ1-77",NA,NA,NA,"CC1=CC(C2=CC(C(OCC)=O)=NO2)=CC=C1"
"304","mPP-0254","11i","NJ1-88",NA,NA,NA,"CC1=CC(C2=CC(C(O)=O)=NO2)=CC=C1"
"306","mPP-0261","28","OL-rc",NA,NA,NA,"CC1=CC(C2=CC(C(NC3=C(Br)C=CC=C3)=O)=NO2)=CC(C)=C1"
"307","mPP-0196","10e","DAP-18",NA,NA,NA,"O=C(OCC)C1=NOC(C2=C(OC)C=CC=C2)=C1"
"308","mPP-0194","10d","DAP-17",NA,NA,NA,"O=C(OCC)C1=NOC(C2=CC=C(C(OC)=O)C=C2)=C1"
"309","mPP-0197","11f","DAP-20",NA,NA,NA,"O=C(O)C1=NOC(C2=CC(OC)=CC=C2)=C1"
