"name.cmpd" "paper.name" "synth.name" "IC50" "IC50.low" "IC50.up" "SMILES"
"mPP-0032" NA "MTI-75" NA NA NA "OC(C=C1)=CC=C1C2=CC(C(O)=O)=NO2"
"mPP-0033" NA "MTI-77" NA NA NA "OC1=CC(C2=CC(C(O)=O)=NO2)=CC=C1"
"mPP-0252" NA "MTI-39" NA NA NA "CCOC(C1=NOC(B2OC(CN(C)CC(O2)=O)=O)=C1)=O"
"mPP-0024" "10e" "MTI-43" NA NA NA "O=C(O)C1=NOC(C2=C(OC)C=CC=C2)=C1"
"mPP-0024" "10e" "DAP-21" NA NA NA "O=C(O)C1=NOC(C2=C(OC)C=CC=C2)=C1"
"NJ-35" NA "NJ-35" NA NA NA NA
"NJ-35" NA "NJ-35" NA NA NA NA
"NJ-35" NA "NJ-35" NA NA NA NA
"mPP-0027" "5" "MTI-59" NA NA NA "CC1=C(C=NN1C)C2=CC(C(O)=O)=NO2"
"mPP-0129" NA "AKI XVIII195" NA NA NA "CC(C)C1=CC2=C(C)C(NCCC3=CNC=N3)=C4C2=C(C=C(C4=O)C(F)(F)F)C=C1"
"mPP-0130" NA "AKI-A17" NA NA NA "CC1=C2C(C3=C1NCCCO)=C(C=C(C(F)(F)F)C3=O)C=CC(C(C)C)=C2"
"mPP-0131" NA "AKI-A41" NA NA NA "CC(C)C1=CC2=C(/C=N/CCC(OCC)=O)C(N)=C3C2=C(C=C(C(F)(F)F)C3=O)C=C1"
"mPP-0132" NA "AKI-A55" NA NA NA "CC(C)C1=CC2=C(C=O)C(NCCO)=C3C2=C(C=C(C(F)(F)F)C3=O)C=C1"
"mPP-0133" NA "RA-B87+89" NA NA NA "CC(C)C1=CC2=C(C)C(NCCC3=CNC4=C3C=CC=C4)=C5C2=C(C=C(C(F)(F)F)C5=O)C=C1"
"mPP-0135" NA "RA-B51+57" NA NA NA "CC(C)C1=CC2=C(C)C(NCCCN3CCOCC3)=C4C2=C(C=C(C(F)(F)F)C4=O)C=C1"
"AKI XVIII129" NA "AKI XVIII129" NA NA NA NA
"AKI XVIII181" NA "AKI XVIII181" NA NA NA NA
"mPP-0138" NA "RA-B23+91" NA NA NA "O=C1C=CC2=C(C(C=C3C)=C(C(F)(F)F)C(OCC4=NC(C=CC=C5)=C5N4)=C2)C3=C1"
"mPP-0159" NA "DAP-10a" NA NA NA "COC1=CC=C(C2=CC(C(OC)=O)=NO2)C=C1"
"mPP-0160" "9g" "DAP-10b" NA NA NA "COC1=CC=C(C2=CC(C(OCC)=O)=NO2)C=C1"
"mPP-0161" "10g" "DAP-13" NA NA NA "OC(C1=NOC(C2=CC=C(OC)C=C2)=C1)=O"
"mPP-0162" "9f" "DAP-16" NA NA NA "O=C(OCC)C1=NOC(C2=CC=CC(OC)=C2)=C1"
"mPP-0163" "9c" "DAP-02" NA NA NA "O=C(OCC)C1=NOC(C2=CC(C(OC)=O)=CC=C2)=C1"
"mPP-0164" "9b" "DAP-14" NA NA NA "O=C(OCC)C1=NOC(C2=CC=CC=C2C(OC)=O)=C1"
"NJ1-4" NA "NJ1-4" NA NA NA NA
"mPP-0147" "10h" "NJ1-31" NA NA NA "OC(C1=NOC(C2=CC=C(C#N)C=C2)=C1)=O"
"mPP-0148" "9a" "NJ1-19" NA NA NA "O=C(OCC)C1=NOC(C2=CC=CC=C2)=C1"
"mPP-0149" "10a" "NJ1-20" NA NA NA "OC(C1=NOC(C2=CC=CC=C2)=C1)=O"
"mPP-0150" NA "NJ1-21" NA NA NA "O=C(OCC)C1=NNC(C2=CC=CC=C2)=C1"
"mPP-0151" "12" "NJ1-32" NA NA NA "OC(C1=NNC(C2=CC=CC=C2)=C1)=O"
"mPP-0152" "9o" "NJ1-24" NA NA NA "O=C(OCC)C1=NOC(C2=CC(C3=CC(C(OCC)=O)=NO3)=CC=C2)=C1"
"mPP-0153" "10o" "NJ1-26" NA NA NA "OC(C1=NOC(C2=CC(C3=CC(C(O)=O)=NO3)=CC=C2)=C1)=O"
"AIM A085CA" NA "AIM A085CA" NA NA NA NA
"mPP-0188" NA "TL2-74" NA NA NA "O=C(C1=CC=CO1)NCC2=CC=C3C(SC(N)=N3)=C2"
"mPP-0190" NA "TL2-58" NA NA NA "O=C(C1=CC=CC=C1)NCC2=CC=C3C(SC(N)=N3)=C2"
"mPP-0191" NA "TL2-41" NA NA NA "O=C(C1=CC=CS1)NCC2=CC=C3C(SC(N)=N3)=C2"
"mPP-0177" NA "AKI-A133" NA NA NA "CC(C)(OC)C1=CC2=C(C)C(NCCO)=C3C2=C(C=C(C3=O)C(F)(F)F)C=C1"
"mPP-0178" NA "AKI-A141" NA NA NA "CC(C)(O)C1=CC2=C(C)C(NCCO)=C3C2=C(C=C(C3=O)C(F)(F)F)C=C1"
"AKI-A81" NA "AKI-A81" NA NA NA NA
"mPP-0180" NA "AKI-B1" NA NA NA "CC(C)C1=CC2=C(C)C(NCC3=CC=C(CO)C=C3)=C4C2=C(C=C(C(F)(F)F)C4=O)C=C1"
"AKI-157" NA "AKI-157" NA NA NA NA
"AKI-179" NA "AKI-179" NA NA NA NA
"mPP-0183" NA "AKI-A63" NA NA NA "CC(C)C1=CC2=C3C(NCCOC3=O)=C4C2=C(C=C(C(F)(F)F)C4=O)C=C1"
